id	name	area_sqkm	center_lat	center_lng	other_names	pd_code	province_id	district_id	dsd_id	ed_id	lg_id
EC-01A	Colombo North	7.61	6.961523	79.869827		001	LK-1	LK-11	LK-1103	EC-01	LG-11011
EC-01B	Colombo Central	19.92	6.933079	79.853386		002	LK-1	LK-11		EC-01	LG-11011
EC-01C	Borella	3.97	6.924041	79.877892		003	LK-1	LK-11	LK-1127	EC-01	LG-11011
EC-01D	Colombo East	8.49	6.891221	79.87536		004	LK-1	LK-11	LK-1127	EC-01	LG-11011
EC-01E	Colombo West	6.88	6.894541	79.857675		005	LK-1	LK-11		EC-01	LG-11011
EC-01F	Dehiwala	8.46	6.858462	79.875429		006	LK-1	LK-11	LK-1130	EC-01	LG-11012
EC-01G	Ratmalana	12.86	6.827061	79.877974		007	LK-1	LK-11	LK-1131	EC-01	LG-11012
EC-01H	Kolonnawa	25.93	6.93437	79.915175		021	LK-1	LK-11	LK-1106	EC-01	
EC-01I	Kotte	16.32	6.891034	79.898428		022	LK-1	LK-11	LK-1124	EC-01	LG-11014
EC-01J	Kaduwela	86.74	6.903511	79.977309		023	LK-1	LK-11	LK-1109	EC-01	LG-11015
EC-01K	Avissawella	252.17	6.885096	80.136573		024	LK-1	LK-11		EC-01	
EC-01L	Homagama	120.32	6.833595	80.015498		025	LK-1	LK-11	LK-1112	EC-01	LG-11031
EC-01M	Maharagama	37.8	6.856502	79.941942		026	LK-1	LK-11	LK-1121	EC-01	LG-11023
EC-01N	Kesbewa	61.41	6.802645	79.928334		027	LK-1	LK-11	LK-1136	EC-01	
EC-01O	Moratuwa	19.3	6.782566	79.890891		028	LK-1	LK-11	LK-1133	EC-01	LG-11013
EC-02A	Wattala	57.17	7.035208	79.88109		008	LK-1	LK-12	LK-1218	EC-02	
EC-02B	Negombo	29.19	7.212174	79.844401		009	LK-1	LK-12	LK-1203	EC-02	LG-12011
EC-02C	Katana	107.8	7.193574	79.889949		010	LK-1	LK-12	LK-1206	EC-02	
EC-02D	Divulapitiya	203.16	7.253922	80.006882		011	LK-1	LK-12	LK-1209	EC-02	LG-12033
EC-02E	Mirigama	188.81	7.225181	80.12288		012	LK-1	LK-12	LK-1212	EC-02	LG-12041
EC-02F	Minuwangoda	132.12	7.155035	79.979044		013	LK-1	LK-12	LK-1215	EC-02	
EC-02G	Attanagalla	154.83	7.114342	80.109868		014	LK-1	LK-12	LK-1227	EC-02	LG-12031
EC-02H	Gampaha	91.82	7.07124	79.994244		015	LK-1	LK-12	LK-1224	EC-02	
EC-02I	Ja Ela	62.45	7.072037	79.90888		016	LK-1	LK-12	LK-1221	EC-02	
EC-02J	Mahara	95.75	7.029309	80.01439		017	LK-1	LK-12	LK-1233	EC-02	LG-12039
EC-02K	Dompe	179.18	6.990491	80.098929		018	LK-1	LK-12	LK-1230	EC-02	LG-12034
EC-02L	Biyagama	61.01	6.968689	79.978247		019	LK-1	LK-12	LK-1239	EC-02	LG-12032
EC-02M	Kelaniya	21.94	6.970356	79.909863		020	LK-1	LK-12	LK-1236	EC-02	
EC-03A	Panadura	36.21	6.711283	79.919764		029	LK-1	LK-13	LK-1303	EC-03	
EC-03B	Bandaragama	145.69	6.686801	80.003462		030	LK-1	LK-13		EC-03	
EC-03C	Horana	206.05	6.759232	80.099888		031	LK-1	LK-13		EC-03	
EC-03D	Bulathsinhala	305.25	6.639649	80.156483		032	LK-1	LK-13		EC-03	
EC-03E	Mathugama	248.73	6.524862	80.070606		033	LK-1	LK-13		EC-03	
EC-03F	Kalutara	75.57	6.620205	79.971212		034	LK-1	LK-13	LK-1321	EC-03	
EC-03G	Beruwala	73.52	6.488797	80.004738		035	LK-1	LK-13	LK-1324	EC-03	
EC-03H	Agalawatta	555.98	6.467213	80.231502		036	LK-1	LK-13		EC-03	
EC-04A	Galagedara	114.91	7.346769	80.495134		041	LK-2	LK-21		EC-04	LG-21043
EC-04B	Harispattuwa	138.01	7.37261	80.585143		042	LK-2	LK-21		EC-04	
EC-04C	Pathadumbara	141.33	7.388849	80.71461		043	LK-2	LK-21		EC-04	
EC-04D	Ududumbara	526.86	7.338155	80.90984		044	LK-2	LK-21		EC-04	
EC-04E	Teldeniya	188.81	7.302731	80.800121		045	LK-2	LK-21	LK-2124	EC-04	
EC-04F	Kundasale	81.19	7.305382	80.708789		046	LK-2	LK-21	LK-2127	EC-04	LG-21035
EC-04G	Hewaheta	133.33	7.212482	80.703446		047	LK-2	LK-21		EC-04	LG-21041
EC-04H	Senkadagala	47.76	7.269732	80.64385		048	LK-2	LK-21		EC-04	
EC-04I	Mahanuwara	12.15	7.288183	80.617395		049	LK-2	LK-21	LK-2130	EC-04	
EC-04J	Yatinuwara	69.11	7.282819	80.538023		050	LK-2	LK-21	LK-2136	EC-04	
EC-04K	Udunuwara	68.84	7.222683	80.559451		051	LK-2	LK-21	LK-2139	EC-04	LG-21046
EC-04L	Gampola	166.96	7.152947	80.631511		052	LK-2	LK-21		EC-04	
EC-04M	Nawalapitiya	238.42	7.063484	80.530844		053	LK-2	LK-21		EC-04	
EC-05A	Dambulla	733.17	7.823793	80.664966		037	LK-2	LK-22		EC-05	
EC-05B	Laggala	1004.04	7.608164	80.807299		038	LK-2	LK-22		EC-05	
EC-05C	Matale	139.22	7.54403	80.609853		039	LK-2	LK-22		EC-05	
EC-05D	Rattota	182.32	7.461745	80.665508		040	LK-2	LK-22		EC-05	
EC-06A	Nuwara Eliya Maskeliya	969.42	6.88602	80.650351		054	LK-2	LK-23		EC-06	
EC-06B	Kothmale	226.79	7.038477	80.656096		055	LK-2	LK-23		EC-06	LG-23033
EC-06C	Hanguranketha	225.72	7.123265	80.776507		056	LK-2	LK-23		EC-06	LG-23032
EC-06D	Walapane	322.88	7.0925	80.886866		057	LK-2	LK-23		EC-06	LG-23035
EC-07A	Balapitiya	54.26	6.314523	80.050593		058	LK-3	LK-31	LK-3106	EC-07	LG-31034
EC-07B	Ambalangoda	100.58	6.186501	80.129944		059	LK-3	LK-31		EC-07	
EC-07C	Karandeniya	145.02	6.264415	80.131811		060	LK-3	LK-31		EC-07	
EC-07D	Bentara Elpitiya	221.61	6.321173	80.144026		061	LK-3	LK-31		EC-07	
EC-07E	Hiniduma	518.84	6.30028	80.337823		062	LK-3	LK-31		EC-07	
EC-07F	Baddegama	280.73	6.141241	80.316191		063	LK-3	LK-31		EC-07	
EC-07G	Ratgama	63.17	6.139834	80.122583		064	LK-3	LK-31		EC-07	
EC-07H	Galle	22.3	6.053635	80.207916		065	LK-3	LK-31	LK-3139	EC-07	
EC-07I	Akmeemana	99.81	6.066682	80.265053		066	LK-3	LK-31		EC-07	
EC-07J	Habaraduwa	107.17	6.018598	80.341261		067	LK-3	LK-31		EC-07	
EC-08A	Deniyaya	359.51	6.291258	80.524222		068	LK-3	LK-32		EC-08	
EC-08B	Hakmana	268.86	6.185573	80.60088		069	LK-3	LK-32		EC-08	
EC-08C	Akuressa	255.97	6.111825	80.467324		070	LK-3	LK-32		EC-08	
EC-08D	Kamburupitiya	164.13	6.043756	80.587237		071	LK-3	LK-32		EC-08	
EC-08E	Devinuwara	89.27	5.981819	80.648359		072	LK-3	LK-32		EC-08	
EC-08F	Matara	56.63	5.962773	80.563249		073	LK-3	LK-32	LK-3242	EC-08	
EC-08G	Weligama	112.0	5.997975	80.441463		074	LK-3	LK-32		EC-08	
EC-09A	Mulkirigala	311.43	6.215542	80.721261		075	LK-3	LK-33		EC-09	
EC-09B	Beliatta	200.44	6.074852	80.729877		076	LK-3	LK-33		EC-09	
EC-09C	Tangalle	434.49	6.146275	80.883425		077	LK-3	LK-33		EC-09	
EC-09D	Thissamaharama	1678.71	6.310469	81.256877		078	LK-3	LK-33		EC-09	
